# Nebular abundances (Osterbrock & Ferland 2006)
H  0.10E+01
He 0.98E-01
Li 0.14E-10
Be 0.14E-10
B  0.40E-09
C  0.80E-03
N  0.20E-03
O  0.40E-03
F  0.36E-07
Ne 0.10E-03
Na 0.21E-05
Mg 0.20E-05
Al 0.30E-06
Si 0.35E-04
P  0.28E-06
S  0.16E-04
Cl 0.32E-06
Ar 0.36E-05
K  0.13E-06
Ca 0.10E-07
Sc 0.13E-08
Ti 0.98E-07
V  0.10E-07
Cr 0.47E-06
Mn 0.20E-06
Fe 0.50E-06
Co 0.83E-07
Ni 0.18E-05
Cu 0.16E-07
Zn 0.40E-07
Ga 0.76E-09
Ge 0.26E-08
As 0.
Se 0.
Br 0.
Kr 0.18E-08
