1039.796800 219648.440000 315821.080000 4 2
1040.886100 219130.780000 315202.770000 6 6
1042.000500 219130.780000 315100.020000 6 8
1043.039800 219947.460000 315821.080000 2 2
1042.651300 219130.780000 315040.120000 6 4
1043.874800 219130.780000 314927.710000 6 6
1046.102400 219648.440000 315241.380000 4 2
1048.309500 219648.440000 315040.120000 4 4
1131.547500 219648.440000 308022.990000 4 2
1132.630600 219130.780000 307420.820000 6 6
1134.735400 219648.440000 307774.710000 4 4
1134.946000 219130.780000 307240.700000 6 8
1135.389100 219947.460000 308022.990000 2 2
1138.598800 219947.460000 307774.710000 2 4
1139.310600 219648.440000 307420.820000 4 6
1137.151500 219130.780000 307069.810000 6 4
1139.360300 219130.780000 306899.330000 6 6
1140.757900 219648.440000 307309.460000 4 2
1143.885100 219648.440000 307069.810000 4 4
1144.662400 219947.460000 307309.460000 2 2
1146.120100 219648.440000 306899.330000 4 6
1193.206100 224087.020000 307894.840000 4 6
1197.921100 224699.270000 308177.220000 2 4
1385.935300 219648.440000 291801.880000 4 4
1387.515800 219130.780000 291202.030000 6 8
1388.490100 219947.460000 291968.140000 2 2
1391.702800 219947.460000 291801.880000 2 4
1391.854300 219648.440000 291495.040000 4 6
1403.682700 219130.780000 290371.950000 6 6
1405.375100 219648.440000 290803.820000 4 2
1409.746700 219648.440000 290583.170000 4 4
1411.305900 219947.460000 290803.820000 2 2
1471.754200 224087.020000 292033.150000 4 6
1475.960100 224699.270000 292451.780000 2 4
1751.216300 246415.040000 303518.210000 4 4
1751.698200 246192.450000 303279.910000 6 6
1796.517100 246192.450000 301855.710000 6 6
1797.196400 246415.040000 302057.260000 4 2
1798.281700 246192.450000 301801.090000 6 8
1800.732400 246415.040000 301948.000000 4 4
1803.116000 246597.710000 302057.260000 2 2
1803.730000 246415.040000 301855.710000 4 6
1845.997000 249108.640000 303279.910000 8 6
1848.823000 249839.630000 303928.100000 2 2
1849.378000 249445.990000 303518.210000 6 4
1853.115000 249108.640000 303071.840000 8 6
1866.215000 249695.530000 303279.910000 4 6
1873.490000 249695.530000 303071.840000 4 6
1873.677000 249445.990000 302816.980000 6 4
1881.689000 249695.530000 302839.280000 4 6
1881.852000 249108.640000 302247.780000 8 8
1882.479000 249839.630000 302961.070000 2 4
1883.797000 249108.640000 302192.920000 8 10
1916.082000 224087.020000 276276.850000 4 4
2004.828000 252953.540000 302816.980000 4 4
2096.106000 246394.130000 294086.490000 6 4
2096.254000 246397.490000 294086.490000 4 4
2780.025000 246415.040000 282375.330000 4 4
2876.329000 246415.040000 281171.380000 4 6
2986.049000 282375.330000 315854.630000 4 4
3034.463000 246192.450000 279137.620000 6 8
3037.720000 246415.040000 279324.890000 4 4
3039.587000 249108.640000 281998.280000 8 6
3044.087000 249839.630000 282680.650000 2 2
3094.007000 251011.180000 283322.350000 6 4
3092.865000 274364.570000 306687.670000 6 8
3092.901000 274364.570000 306687.290000 6 6
3097.133000 274409.110000 306687.670000 8 8
3097.169000 274409.110000 306687.290000 8 6
3134.065000 274364.570000 306262.770000 6 4
3135.967000 274364.570000 306243.420000 6 6
3140.355000 274409.110000 306243.420000 8 6
3218.193000 249108.640000 280173.010000 8 10
3230.069000 246394.130000 277344.290000 6 6
3230.419000 246397.490000 277344.290000 4 6
3232.020000 246394.130000 277325.600000 6 4
3232.372000 246397.490000 277325.600000 4 4
3334.836000 219130.780000 249108.640000 6 8
3404.822000 277325.600000 306687.290000 4 6
3406.946000 277344.290000 306687.670000 6 8
3406.990000 277344.290000 306687.290000 6 6
3411.359000 276276.850000 305582.270000 4 2
3413.145000 276276.850000 305566.940000 4 4
3453.068000 251522.120000 280473.580000 4 4
3454.773000 277325.600000 306262.770000 4 4
3457.006000 277344.290000 306262.770000 6 4
3457.085000 277325.600000 306243.420000 4 6
3459.321000 277344.290000 306243.420000 6 6
3479.519000 276677.130000 305408.510000 2 2
3480.717000 276677.130000 305398.620000 2 4
3537.002000 280473.580000 308738.030000 4 4
3537.976000 277325.600000 305582.270000 4 2
3539.897000 277325.600000 305566.940000 4 4
3542.241000 277344.290000 305566.940000 6 4
3568.500000 246394.130000 274409.110000 6 8
3574.183000 246394.130000 274364.570000 6 6
3574.612000 246397.490000 274364.570000 4 6
3601.056000 279137.620000 306899.330000 8 6
3647.866000 281332.550000 308738.030000 2 4
3676.226000 280700.770000 307894.840000 8 6
3682.019000 281025.940000 308177.220000 6 4
3693.390000 280173.010000 307240.700000 10 8
3713.080000 224087.020000 251011.180000 4 6
3740.599000 276511.820000 303237.910000 2 4
3819.420000 281720.280000 307894.840000 4 6
3823.150000 276276.850000 302425.870000 4 4
3840.499000 276276.850000 302307.750000 4 6
4687.653000 291801.880000 313128.550000 4 4
7235.190000 280268.960000 294086.490000 6 4
18021.610000 302475.610000 308022.990000 2 2
